2019-11-23 00:00:38 status half-installed libk5crypto3:amd64 1.17-3
2019-11-23 00:00:38 status unpacked libk5crypto3:amd64 1.17-3
2019-11-23 00:00:38 install libkrb5-3:amd64 <none> 1.17-3
2019-11-23 00:00:38 status half-installed libkrb5-3:amd64 1.17-3
2019-11-23 00:00:38 status unpacked libkrb5-3:amd64 1.17-3
2019-11-23 00:00:38 install libgssapi-krb5-2:amd64 <none> 1.17-3
2019-11-23 00:00:38 status half-installed libgssapi-krb5-2:amd64 1.17-3
2019-11-23 00:00:38 status unpacked libgssapi-krb5-2:amd64 1.17-3
2019-11-23 00:00:38 install libsasl2-modules-db:amd64 <none> 2.1.27+dfsg-1
2019-11-23 00:00:38 status half-installed libsasl2-modules-db:amd64 2.1.27+dfsg-1
2019-11-23 00:00:38 status unpacked libsasl2-modules-db:amd64 2.1.27+dfsg-1
2019-11-23 00:00:38 install libsasl2-2:amd64 <none> 2.1.27+dfsg-1
2019-11-23 00:00:38 status half-installed libsasl2-2:amd64 2.1.27+dfsg-1
2019-11-23 00:00:38 status unpacked libsasl2-2:amd64 2.1.27+dfsg-1
2019-11-23 00:00:38 install libldap-common:all <none> 2.4.47+dfsg-3+deb10u1
2019-11-23 00:00:38 status half-installed libldap-common:all 2.4.47+dfsg-3+deb10u1
2019-11-23 00:00:38 status unpacked libldap-common:all 2.4.47+dfsg-3+deb10u1
2019-11-23 00:00:38 install libldap-2.4-2:amd64 <none> 2.4.47+dfsg-3+deb10u1
2019-11-23 00:00:38 status half-installed libldap-2.4-2:amd64 2.4.47+dfsg-3+deb10u1
2019-11-23 00:00:38 status unpacked libldap-2.4-2:amd64 2.4.47+dfsg-3+deb10u1
2019-11-23 00:00:38 install libnghttp2-14:amd64 <none> 1.36.0-2+deb10u1
2019-11-23 00:00:38 status half-installed libnghttp2-14:amd64 1.36.0-2+deb10u1
2019-11-23 00:00:38 status unpacked libnghttp2-14:amd64 1.36.0-2+deb10u1
2019-11-23 00:00:38 install librtmp1:amd64 <none> 2.4+20151223.gitfa8646d.1-2
2019-11-23 00:00:38 status half-installed librtmp1:amd64 2.4+20151223.gitfa8646d.1-2
2019-11-23 00:00:38 status unpacked librtmp1:amd64 2.4+20151223.gitfa8646d.1-2
2019-11-23 00:00:38 install libssh2-1:amd64 <none> 1.8.0-2.1
2019-11-23 00:00:38 status half-installed libssh2-1:amd64 1.8.0-2.1
2019-11-23 00:00:38 status unpacked libssh2-1:amd64 1.8.0-2.1
2019-11-23 00:00:38 install libcurl4:amd64 <none> 7.64.0-4
2019-11-23 00:00:38 status half-installed libcurl4:amd64 7.64.0-4
2019-11-23 00:00:38 status unpacked libcurl4:amd64 7.64.0-4
2019-11-23 00:00:38 install curl:amd64 <none> 7.64.0-4
2019-11-23 00:00:38 status half-installed curl:amd64 7.64.0-4
2019-11-23 00:00:38 status unpacked curl:amd64 7.64.0-4
2019-11-23 00:00:38 startup packages configure
2019-11-23 00:00:38 configure libkeyutils1:amd64 1.6-6 <none>
2019-11-23 00:00:38 status unpacked libkeyutils1:amd64 1.6-6
2019-11-23 00:00:38 status half-configured libkeyutils1:amd64 1.6-6
2019-11-23 00:00:38 status installed libkeyutils1:amd64 1.6-6
2019-11-23 00:00:38 configure libpsl5:amd64 0.20.2-2 <none>
2019-11-23 00:00:38 status unpacked libpsl5:amd64 0.20.2-2
2019-11-23 00:00:38 status half-configured libpsl5:amd64 0.20.2-2
2019-11-23 00:00:38 status installed libpsl5:amd64 0.20.2-2
2019-11-23 00:00:38 configure libssl1.1:amd64 1.1.1d-0+deb10u2 <none>
2019-11-23 00:00:38 status unpacked libssl1.1:amd64 1.1.1d-0+deb10u2
2019-11-23 00:00:38 status half-configured libssl1.1:amd64 1.1.1d-0+deb10u2
2019-11-23 00:00:38 status installed libssl1.1:amd64 1.1.1d-0+deb10u2
2019-11-23 00:00:38 configure libnghttp2-14:amd64 1.36.0-2+deb10u1 <none>
2019-11-23 00:00:38 status unpacked libnghttp2-14:amd64 1.36.0-2+deb10u1
2019-11-23 00:00:38 status half-configured libnghttp2-14:amd64 1.36.0-2+deb10u1
2019-11-23 00:00:38 status installed libnghttp2-14:amd64 1.36.0-2+deb10u1
2019-11-23 00:00:38 configure libldap-common:all 2.4.47+dfsg-3+deb10u1 <none>
2019-11-23 00:00:38 status unpacked libldap-common:all 2.4.47+dfsg-3+deb10u1
2019-11-23 00:00:38 status half-configured libldap-common:all 2.4.47+dfsg-3+deb10u1
2019-11-23 00:00:38 status installed libldap-common:all 2.4.47+dfsg-3+deb10u1
2019-11-23 00:00:38 configure libkrb5support0:amd64 1.17-3 <none>
2019-11-23 00:00:38 status unpacked libkrb5support0:amd64 1.17-3
2019-11-23 00:00:38 status half-configured libkrb5support0:amd64 1.17-3
2019-11-23 00:00:38 status installed libkrb5support0:amd64 1.17-3
2019-11-23 00:00:38 configure libsasl2-modules-db:amd64 2.1.27+dfsg-1 <none>
2019-11-23 00:00:38 status unpacked libsasl2-modules-db:amd64 2.1.27+dfsg-1
2019-11-23 00:00:38 status half-configured libsasl2-modules-db:amd64 2.1.27+dfsg-1
2019-11-23 00:00:38 status installed libsasl2-modules-db:amd64 2.1.27+dfsg-1
2019-11-23 00:00:38 configure librtmp1:amd64 2.4+20151223.gitfa8646d.1-2 <none>
2019-11-23 00:00:38 status unpacked librtmp1:amd64 2.4+20151223.gitfa8646d.1-2
2019-11-23 00:00:38 status half-configured librtmp1:amd64 2.4+20151223.gitfa8646d.1-2
2019-11-23 00:00:38 status installed librtmp1:amd64 2.4+20151223.gitfa8646d.1-2
2019-11-23 00:00:38 configure libpcre2-8-0:amd64 10.32-5 <none>
2019-11-23 00:00:38 status unpacked libpcre2-8-0:amd64 10.32-5
2019-11-23 00:00:38 status half-configured libpcre2-8-0:amd64 10.32-5
2019-11-23 00:00:38 status installed libpcre2-8-0:amd64 10.32-5
2019-11-23 00:00:38 configure libk5crypto3:amd64 1.17-3 <none>
2019-11-23 00:00:38 status unpacked libk5crypto3:amd64 1.17-3
2019-11-23 00:00:38 status half-configured libk5crypto3:amd64 1.17-3
2019-11-23 00:00:38 status installed libk5crypto3:amd64 1.17-3
2019-11-23 00:00:38 configure libsasl2-2:amd64 2.1.27+dfsg-1 <none>
2019-11-23 00:00:38 status unpacked libsasl2-2:amd64 2.1.27+dfsg-1
2019-11-23 00:00:38 status half-configured libsasl2-2:amd64 2.1.27+dfsg-1
2019-11-23 00:00:38 status installed libsasl2-2:amd64 2.1.27+dfsg-1
2019-11-23 00:00:38 configure libssh2-1:amd64 1.8.0-2.1 <none>
2019-11-23 00:00:38 status unpacked libssh2-1:amd64 1.8.0-2.1
2019-11-23 00:00:38 status half-configured libssh2-1:amd64 1.8.0-2.1
2019-11-23 00:00:38 status installed libssh2-1:amd64 1.8.0-2.1
2019-11-23 00:00:38 configure netbase:all 5.6 <none>
2019-11-23 00:00:38 status unpacked netbase:all 5.6
2019-11-23 00:00:38 status half-configured netbase:all 5.6
2019-11-23 00:00:38 status installed netbase:all 5.6
2019-11-23 00:00:38 configure libkrb5-3:amd64 1.17-3 <none>
2019-11-23 00:00:38 status unpacked libkrb5-3:amd64 1.17-3
2019-11-23 00:00:38 status half-configured libkrb5-3:amd64 1.17-3
2019-11-23 00:00:38 status installed libkrb5-3:amd64 1.17-3
2019-11-23 00:00:38 configure openssl:amd64 1.1.1d-0+deb10u2 <none>
2019-11-23 00:00:38 status unpacked openssl:amd64 1.1.1d-0+deb10u2
2019-11-23 00:00:39 status half-configured openssl:amd64 1.1.1d-0+deb10u2
2019-11-23 00:00:39 status installed openssl:amd64 1.1.1d-0+deb10u2
2019-11-23 00:00:39 configure wget:amd64 1.20.1-1.1 <none>
2019-11-23 00:00:39 status unpacked wget:amd64 1.20.1-1.1
2019-11-23 00:00:39 status half-configured wget:amd64 1.20.1-1.1
2019-11-23 00:00:39 status installed wget:amd64 1.20.1-1.1
2019-11-23 00:00:39 configure libldap-2.4-2:amd64 2.4.47+dfsg-3+deb10u1 <none>
2019-11-23 00:00:39 status unpacked libldap-2.4-2:amd64 2.4.47+dfsg-3+deb10u1
2019-11-23 00:00:39 status half-configured libldap-2.4-2:amd64 2.4.47+dfsg-3+deb10u1
2019-11-23 00:00:39 status installed libldap-2.4-2:amd64 2.4.47+dfsg-3+deb10u1
2019-11-23 00:00:39 configure ca-certificates:all 20190110 <none>
2019-11-23 00:00:39 status unpacked ca-certificates:all 20190110
2019-11-23 00:00:39 status half-configured ca-certificates:all 20190110
2019-11-23 00:00:40 status installed ca-certificates:all 20190110
2019-11-23 00:00:40 status triggers-pending ca-certificates:all 20190110
2019-11-23 00:00:40 configure libgssapi-krb5-2:amd64 1.17-3 <none>
2019-11-23 00:00:40 status unpacked libgssapi-krb5-2:amd64 1.17-3
2019-11-23 00:00:40 status half-configured libgssapi-krb5-2:amd64 1.17-3
2019-11-23 00:00:40 status installed libgssapi-krb5-2:amd64 1.17-3
2019-11-23 00:00:40 configure libcurl4:amd64 7.64.0-4 <none>
2019-11-23 00:00:40 status unpacked libcurl4:amd64 7.64.0-4
2019-11-23 00:00:40 status half-configured libcurl4:amd64 7.64.0-4
2019-11-23 00:00:40 status installed libcurl4:amd64 7.64.0-4
2019-11-23 00:00:40 configure curl:amd64 7.64.0-4 <none>
2019-11-23 00:00:40 status unpacked curl:amd64 7.64.0-4
2019-11-23 00:00:40 status half-configured curl:amd64 7.64.0-4
2019-11-23 00:00:40 status installed curl:amd64 7.64.0-4
2019-11-23 00:00:40 trigproc libc-bin:amd64 2.28-10 <none>
2019-11-23 00:00:40 status half-configured libc-bin:amd64 2.28-10
2019-11-23 00:00:40 status installed libc-bin:amd64 2.28-10
2019-11-23 00:00:40 trigproc ca-certificates:all 20190110 <none>
2019-11-23 00:00:40 status half-configured ca-certificates:all 20190110
2019-11-23 00:00:40 status installed ca-certificates:all 20190110
2019-11-23 00:00:47 startup archives unpack
2019-11-23 00:00:47 install readline-common:all <none> 7.0-5
2019-11-23 00:00:47 status half-installed readline-common:all 7.0-5
2019-11-23 00:00:47 status unpacked readline-common:all 7.0-5
2019-11-23 00:00:47 install libassuan0:amd64 <none> 2.5.2-1
2019-11-23 00:00:47 status triggers-pending libc-bin:amd64 2.28-10
2019-11-23 00:00:47 status half-installed libassuan0:amd64 2.5.2-1
2019-11-23 00:00:47 status unpacked libassuan0:amd64 2.5.2-1
2019-11-23 00:00:47 install libreadline7:amd64 <none> 7.0-5
2019-11-23 00:00:47 status half-installed libreadline7:amd64 7.0-5
2019-11-23 00:00:47 status unpacked libreadline7:amd64 7.0-5
2019-11-23 00:00:47 install gpgconf:amd64 <none> 2.2.12-1+deb10u1
2019-11-23 00:00:47 status half-installed gpgconf:amd64 2.2.12-1+deb10u1
2019-11-23 00:00:47 status unpacked gpgconf:amd64 2.2.12-1+deb10u1
2019-11-23 00:00:47 install lsb-base:all <none> 10.2019051400
2019-11-23 00:00:47 status half-installed lsb-base:all 10.2019051400
2019-11-23 00:00:47 status unpacked lsb-base:all 10.2019051400
2019-11-23 00:00:47 install libksba8:amd64 <none> 1.3.5-2
2019-11-23 00:00:47 status half-installed libksba8:amd64 1.3.5-2
2019-11-23 00:00:47 status unpacked libksba8:amd64 1.3.5-2
2019-11-23 00:00:47 install libnpth0:amd64 <none> 1.6-1
2019-11-23 00:00:47 status half-installed libnpth0:amd64 1.6-1
2019-11-23 00:00:47 status unpacked libnpth0:amd64 1.6-1
2019-11-23 00:00:47 install dirmngr:amd64 <none> 2.2.12-1+deb10u1
2019-11-23 00:00:47 status half-installed dirmngr:amd64 2.2.12-1+deb10u1
2019-11-23 00:00:47 status unpacked dirmngr:amd64 2.2.12-1+deb10u1
2019-11-23 00:00:47 install gnupg-l10n:all <none> 2.2.12-1+deb10u1
2019-11-23 00:00:47 status half-installed gnupg-l10n:all 2.2.12-1+deb10u1
2019-11-23 00:00:47 status unpacked gnupg-l10n:all 2.2.12-1+deb10u1
2019-11-23 00:00:47 install gnupg-utils:amd64 <none> 2.2.12-1+deb10u1
2019-11-23 00:00:47 status half-installed gnupg-utils:amd64 2.2.12-1+deb10u1
2019-11-23 00:00:47 status unpacked gnupg-utils:amd64 2.2.12-1+deb10u1
2019-11-23 00:00:47 install libsqlite3-0:amd64 <none> 3.27.2-3
2019-11-23 00:00:47 status half-installed libsqlite3-0:amd64 3.27.2-3
2019-11-23 00:00:47 status unpacked libsqlite3-0:amd64 3.27.2-3
2019-11-23 00:00:47 install gpg:amd64 <none> 2.2.12-1+deb10u1
2019-11-23 00:00:47 status half-installed gpg:amd64 2.2.12-1+deb10u1
2019-11-23 00:00:47 status unpacked gpg:amd64 2.2.12-1+deb10u1
2019-11-23 00:00:47 install pinentry-curses:amd64 <none> 1.1.0-2
2019-11-23 00:00:47 status half-installed pinentry-curses:amd64 1.1.0-2
2019-11-23 00:00:48 status unpacked pinentry-curses:amd64 1.1.0-2
2019-11-23 00:00:48 install gpg-agent:amd64 <none> 2.2.12-1+deb10u1
2019-11-23 00:00:48 status half-installed gpg-agent:amd64 2.2.12-1+deb10u1
2019-11-23 00:00:48 status unpacked gpg-agent:amd64 2.2.12-1+deb10u1
2019-11-23 00:00:48 install gpg-wks-client:amd64 <none> 2.2.12-1+deb10u1
2019-11-23 00:00:48 status half-installed gpg-wks-client:amd64 2.2.12-1+deb10u1
2019-11-23 00:00:48 status unpacked gpg-wks-client:amd64 2.2.12-1+deb10u1
2019-11-23 00:00:48 install gpg-wks-server:amd64 <none> 2.2.12-1+deb10u1
